index,carat,cut,color,clarity,depth,table,length (mm),width (mm),height (mm),year
21395,0.4,Very Good,D,VS2,63.6,55.0,4.68,4.72,2.99,2023
21396,0.4,Very Good,D,VS2,59.3,58.0,4.8,4.85,2.86,2023
21397,0.4,Very Good,D,VS2,63.5,57.0,4.62,4.67,2.95,2023
21398,0.3,Ideal,G,VVS2,61.8,57.0,4.31,4.33,2.67,2023
21399,0.43,Ideal,H,VS1,61.2,56.0,4.87,4.9,2.99,2023
21400,0.33,Ideal,E,VS1,62.3,56.0,4.41,4.45,2.75,2023
21401,0.33,Ideal,E,VS1,60.9,57.0,4.47,4.5,2.73,2023
21402,0.3,Ideal,G,IF,61.7,53.0,4.33,4.36,2.68,2023
21403,0.3,Ideal,G,IF,62.2,56.0,4.26,4.29,2.66,2023
21404,0.44,Very Good,D,VS2,62.8,58.0,4.79,4.86,3.03,2023
21405,0.46,Ideal,J,VS1,62.6,53.9,4.92,4.95,3.09,2023
21406,0.46,Ideal,F,SI2,62.1,54.7,4.95,4.98,3.08,2023
21407,0.36,Very Good,D,SI1,63.4,57.0,4.57,4.55,2.89,2023
21408,0.36,Premium,D,SI1,60.1,57.0,4.66,4.62,2.79,2023
21409,0.36,Ideal,D,SI1,62.1,56.0,4.58,4.53,2.83,2023
21410,0.42,Ideal,F,SI2,62.1,56.0,4.83,4.8,2.99,2023
21411,0.36,Ideal,D,SI1,60.3,56.0,4.65,4.61,2.79,2023
21412,0.36,Premium,D,SI1,60.4,58.0,4.64,4.6,2.79,2023
21413,0.36,Premium,D,SI1,61.4,58.0,4.59,4.56,2.81,2023
21414,0.36,Ideal,D,SI1,61.5,56.0,4.64,4.56,2.83,2023
21415,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,2023
21416,0.36,Ideal,D,SI1,61.6,56.0,4.58,4.54,2.81,2023
21417,0.36,Ideal,D,SI1,62.7,57.0,4.59,4.54,2.86,2023
21418,0.36,Ideal,D,SI1,62.7,57.0,4.59,4.54,2.86,2023
21419,0.5,Premium,F,I1,61.9,58.0,5.15,5.05,3.15,2023
21420,0.3,Premium,E,VS1,60.6,62.0,4.3,4.28,2.6,2023
21421,0.45,Very Good,E,SI1,62.8,58.0,4.84,4.88,3.05,2023
21422,0.36,Ideal,E,VS1,62.4,55.0,4.59,4.61,2.87,2023
21423,0.36,Ideal,D,VS2,61.0,56.0,4.59,4.63,2.81,2023
21424,0.34,Ideal,H,VVS2,61.1,56.0,4.52,4.55,2.77,2023
21425,0.34,Ideal,H,VVS2,61.4,56.0,4.48,4.51,2.76,2023
21426,0.36,Ideal,E,VS1,61.7,56.0,4.56,4.58,2.82,2023
21427,0.36,Ideal,E,VS1,62.0,56.0,4.57,4.59,2.84,2023
21428,0.36,Ideal,E,VS1,61.6,57.0,4.54,4.58,2.81,2023
21429,0.36,Premium,E,VS1,60.4,58.0,4.64,4.67,2.81,2023
21430,0.36,Premium,D,VS2,60.5,58.0,4.6,4.63,2.79,2023
21431,0.41,Very Good,F,SI1,63.4,58.0,4.75,4.68,2.99,2023
21432,0.43,Ideal,I,SI1,60.9,57.0,4.88,4.9,2.98,2023
21433,0.45,Ideal,G,SI1,62.0,54.0,4.95,4.98,3.08,2023
21434,0.36,Ideal,I,IF,60.8,57.0,4.6,4.64,2.81,2023
21435,0.36,Premium,E,VS1,61.3,58.0,4.56,4.58,2.8,2023
21436,0.36,Premium,D,VS2,61.0,58.0,4.59,4.62,2.81,2023
21437,0.43,Very Good,G,VS2,62.4,56.0,4.84,4.87,3.02,2023
21438,0.36,Ideal,D,VS2,61.6,56.0,4.55,4.57,2.81,2023
21439,0.38,Very Good,G,VVS2,61.5,57.0,4.66,4.68,2.87,2023
21440,0.4,Very Good,G,VS1,60.0,56.0,4.81,4.85,2.9,2023
21441,0.39,Ideal,H,VVS2,61.4,56.1,4.7,4.73,2.89,2023
21442,0.39,Ideal,H,VVS2,62.1,54.3,4.63,4.69,2.9,2023
21443,0.33,Premium,G,IF,59.4,59.0,4.49,4.54,2.68,2023
21444,0.36,Ideal,F,VVS2,60.4,58.0,4.61,4.66,2.8,2023
21445,0.35,Ideal,G,VVS1,61.8,54.5,4.54,4.58,2.82,2023
21446,0.31,Ideal,E,VVS1,59.7,60.0,4.41,4.43,2.64,2023
21447,0.31,Ideal,E,VVS1,61.5,56.0,4.34,4.37,2.68,2023
21448,0.31,Ideal,E,VVS1,61.7,56.0,4.38,4.4,2.71,2023
21449,0.31,Ideal,E,VVS1,62.1,55.0,4.34,4.36,2.7,2023
21450,0.31,Ideal,E,VVS1,62.5,54.0,4.33,4.37,2.72,2023
21451,0.38,Ideal,E,VS2,62.0,56.0,4.62,4.66,2.88,2023
21452,0.38,Ideal,E,VS2,61.7,54.3,4.68,4.69,2.89,2023
21453,0.39,Ideal,G,VS1,62.2,54.3,4.66,4.69,2.91,2023
21454,0.31,Ideal,G,IF,61.6,54.0,4.36,4.4,2.7,2023
21455,0.31,Ideal,G,IF,60.5,61.0,4.39,4.4,2.66,2023
21456,0.35,Ideal,F,VS1,62.4,55.0,4.52,4.49,2.81,2023
21457,0.42,Very Good,G,VS2,62.1,55.0,4.8,4.83,2.99,2023
21458,0.47,Very Good,J,VS1,63.0,60.0,4.92,4.95,3.11,2023
21459,0.32,Ideal,D,VVS2,59.9,59.0,4.45,4.46,2.67,2023
21460,0.4,Ideal,I,VVS1,62.3,56.0,4.67,4.7,2.92,2023
21461,0.32,Ideal,F,VVS1,60.4,57.0,4.41,4.43,2.67,2023
21462,0.33,Ideal,F,VVS1,61.1,55.0,4.48,4.52,2.75,2023
21463,0.3,Ideal,F,VVS1,62.0,54.2,4.31,4.33,2.68,2023
21464,0.32,Ideal,F,VVS1,61.6,55.0,4.4,4.43,2.72,2023
21465,0.32,Ideal,F,VVS1,62.3,55.0,4.37,4.4,2.73,2023
21466,0.32,Ideal,F,VVS1,61.6,55.0,4.42,4.44,2.73,2023
21467,0.4,Ideal,E,VS2,62.1,54.0,4.72,4.75,2.94,2023
21468,0.33,Ideal,F,VS2,60.5,55.0,4.55,4.47,2.73,2023
21469,0.33,Premium,F,VS2,62.2,58.0,4.44,4.43,2.76,2023
21470,0.33,Ideal,H,VVS2,60.9,57.0,4.52,4.48,2.74,2023
21471,0.33,Ideal,H,VVS2,62.2,56.0,4.46,4.44,2.77,2023
21472,0.33,Ideal,H,VVS2,62.2,54.0,4.46,4.44,2.77,2023
21473,0.33,Ideal,H,VVS2,61.7,56.0,4.44,4.41,2.73,2023
21474,0.33,Ideal,H,VVS2,61.9,57.0,4.44,4.41,2.74,2023
21475,0.33,Premium,H,VVS2,62.4,60.0,4.42,4.39,2.75,2023
21476,0.33,Ideal,G,VS1,62.1,54.0,4.47,4.45,2.77,2023
21477,0.33,Ideal,G,VS1,60.1,55.0,4.55,4.5,2.72,2023
21478,0.33,Premium,G,VS1,59.2,59.0,4.54,4.51,2.68,2023
21479,0.33,Ideal,G,VS1,62.1,55.0,4.46,4.43,2.76,2023
21480,0.33,Premium,G,VS1,61.4,59.0,4.49,4.43,2.74,2023
21481,0.33,Ideal,G,VS1,61.7,56.0,4.47,4.44,2.75,2023
21482,0.33,Ideal,G,VS1,61.4,55.0,4.48,4.44,2.74,2023
21483,0.33,Ideal,G,VS1,61.9,56.0,4.48,4.44,2.76,2023
21484,0.33,Premium,G,VS1,61.3,58.0,4.46,4.42,2.72,2023
21485,0.33,Premium,G,VS1,61.6,60.0,4.46,4.41,2.73,2023
21486,0.33,Premium,G,VS1,62.4,59.0,4.47,4.41,2.77,2023
21487,0.33,Premium,G,VS1,62.3,58.0,4.45,4.41,2.76,2023
21488,0.33,Ideal,G,VS1,61.9,55.0,4.44,4.41,2.74,2023
21489,0.33,Ideal,G,VS1,61.6,57.0,4.45,4.41,2.73,2023
21490,0.33,Premium,G,VS1,61.8,59.0,4.45,4.39,2.73,2023
21491,0.33,Premium,G,VS1,62.2,58.0,4.42,4.39,2.74,2023
21492,0.33,Premium,G,VS1,62.0,59.0,4.42,4.36,2.72,2023
21493,0.33,Premium,G,VS1,62.8,58.0,4.41,4.38,2.76,2023
21494,0.33,Ideal,G,VS1,62.3,57.0,4.42,4.38,2.74,2023
21495,0.33,Ideal,G,VS1,62.9,57.0,4.43,4.38,2.77,2023
21496,0.33,Premium,F,VS2,61.2,58.0,4.5,4.45,2.74,2023
21497,0.33,Ideal,F,VS2,61.2,54.0,4.49,4.47,2.74,2023
21498,0.33,Premium,F,VS2,60.8,58.0,4.47,4.44,2.71,2023
21499,0.33,Ideal,F,VS2,62.1,55.0,4.47,4.45,2.77,2023
21500,0.33,Ideal,F,VS2,61.9,55.0,4.46,4.43,2.75,2023
21501,0.33,Ideal,F,VS2,62.1,54.0,4.46,4.43,2.76,2023
21502,0.33,Ideal,F,VS2,62.3,55.0,4.47,4.42,2.77,2023
21503,0.33,Ideal,F,VS2,62.6,55.0,4.42,4.4,2.76,2023
21504,0.33,Ideal,F,VS2,62.3,56.0,4.45,4.41,2.76,2023
21505,0.33,Premium,F,VS2,62.4,57.0,4.43,4.39,2.75,2023
21506,0.34,Premium,F,VS2,59.8,59.0,4.55,4.51,2.71,2023
21507,0.39,Premium,G,SI1,61.7,57.0,4.77,4.7,2.92,2023
21508,0.33,Premium,F,VS2,62.1,59.0,4.45,4.4,2.75,2023
21509,0.33,Ideal,F,VS2,61.6,55.0,4.48,4.45,2.75,2023
21510,0.33,Ideal,D,VS2,62.3,54.0,4.46,4.43,2.77,2023
21511,0.39,Premium,G,VS1,62.6,58.0,4.66,4.7,2.93,2023
21512,0.4,Ideal,G,SI1,61.0,55.0,4.76,4.81,2.92,2023
21513,0.5,Good,I,SI2,65.3,56.0,4.91,5.01,3.24,2023
21514,0.38,Premium,G,SI1,59.5,62.0,4.71,4.67,2.79,2023
21515,0.38,Premium,G,SI1,62.4,59.0,4.64,4.59,2.88,2023
21516,0.4,Premium,D,SI2,60.0,58.0,4.84,4.8,2.89,2023
21517,0.4,Good,I,VS2,63.8,54.0,4.72,4.68,3.0,2023
21518,0.4,Premium,H,SI1,62.8,59.0,4.69,4.67,2.94,2023
21519,0.4,Premium,H,SI1,62.1,62.0,4.73,4.7,2.93,2023
21520,0.4,Premium,E,SI2,62.9,58.0,4.74,4.7,2.97,2023
21521,0.4,Premium,E,SI2,61.4,59.0,4.75,4.7,2.9,2023
21522,0.4,Very Good,E,SI2,63.2,57.0,4.68,4.66,2.95,2023
21523,0.4,Premium,E,SI2,62.9,59.0,4.69,4.66,2.94,2023
21524,0.4,Premium,E,SI2,61.4,57.0,4.74,4.68,2.89,2023
21525,0.4,Premium,D,SI2,61.1,58.0,4.76,4.73,2.9,2023
21526,0.4,Premium,D,SI2,60.4,59.0,4.83,4.8,2.91,2023
21527,0.4,Premium,D,SI2,61.9,58.0,4.73,4.71,2.92,2023
21528,0.4,Premium,D,SI2,62.2,58.0,4.75,4.71,2.94,2023
21529,0.4,Premium,D,SI2,61.7,58.0,4.74,4.69,2.91,2023
21530,0.4,Premium,D,SI2,62.1,60.0,4.75,4.69,2.93,2023
21531,0.4,Ideal,D,SI2,62.8,56.0,4.73,4.7,2.96,2023
21532,0.38,Premium,G,SI1,61.4,61.0,4.66,4.62,2.85,2023
21533,0.38,Ideal,G,SI1,62.4,57.0,4.65,4.62,2.89,2023
21534,0.38,Ideal,G,SI1,60.9,56.0,4.71,4.68,2.86,2023
21535,0.46,Fair,I,VS2,66.8,55.0,4.82,4.77,3.2,2023
21536,0.4,Ideal,H,SI1,62.9,56.0,4.7,4.65,2.94,2023
21537,0.53,Ideal,J,SI2,61.9,54.0,5.2,5.23,3.23,2023
21538,0.3,Ideal,F,VVS1,62.3,56.0,4.3,4.34,2.69,2023
21539,0.3,Ideal,F,VVS1,62.6,56.0,4.26,4.29,2.67,2023
21540,0.3,Ideal,H,SI1,62.1,56.0,4.3,4.32,2.67,2023
21541,0.31,Premium,J,SI1,61.9,59.0,4.32,4.28,2.66,2023
21542,0.31,Premium,J,SI1,60.9,60.0,4.38,4.36,2.66,2023
21543,0.31,Premium,J,SI1,62.7,59.0,4.32,4.29,2.7,2023
21544,0.29,Very Good,H,VVS2,62.2,54.0,4.23,4.26,2.64,2023
21545,0.32,Ideal,I,VS2,62.3,55.0,4.39,4.41,2.74,2023
21546,0.32,Ideal,I,VS2,62.0,53.0,4.42,4.45,2.75,2023
21547,0.25,Very Good,H,VVS2,63.3,54.0,3.98,4.02,2.52,2023
21548,0.25,Very Good,H,VVS1,61.6,56.0,4.07,4.1,2.51,2023
21549,0.28,Ideal,H,VS2,61.9,55.0,4.2,4.23,2.61,2023
21550,0.41,Good,G,I1,63.8,56.0,4.7,4.74,3.01,2023
21551,0.3,Premium,E,SI2,61.5,62.0,4.31,4.28,2.64,2023
21552,0.32,Good,D,I1,64.0,54.0,4.36,4.33,2.78,2023
21553,0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,2023
21554,0.23,Very Good,F,VVS2,58.1,63.0,4.04,4.08,2.36,2023
21555,0.26,Very Good,H,VVS1,62.5,58.0,4.08,4.11,2.56,2023
21556,0.26,Premium,H,VVS1,59.8,59.0,4.12,4.17,2.48,2023
21557,0.26,Good,H,VVS2,63.3,58.0,4.04,4.08,2.57,2023
21558,0.3,Ideal,F,VVS1,61.8,55.0,4.32,4.35,2.68,2023
21559,0.3,Ideal,F,VVS1,62.2,53.0,4.3,4.32,2.68,2023
21560,0.3,Ideal,F,VVS1,61.8,54.0,4.34,4.36,2.69,2023
21561,0.39,Ideal,G,VS2,62.5,54.0,4.67,4.7,2.93,2023
21562,0.4,Good,E,SI1,64.2,57.0,4.68,4.66,3.0,2023
21563,0.3,Very Good,F,VVS1,58.1,61.0,4.39,4.42,2.56,2023
21564,0.4,Very Good,E,VS2,62.9,59.0,4.7,4.75,2.97,2023
21565,0.34,Ideal,F,VVS1,61.1,57.0,4.55,4.58,2.79,2023
21566,0.36,Good,F,VVS1,62.4,63.0,4.46,4.51,2.8,2023
21567,0.29,Ideal,E,VVS2,62.0,55.0,4.27,4.25,2.64,2023
21568,0.29,Ideal,F,VVS1,60.9,57.0,4.32,4.29,2.62,2023
21569,0.43,Ideal,H,SI1,62.1,57.0,4.83,4.77,2.98,2023
21570,0.43,Very Good,E,SI2,63.4,57.0,4.82,4.77,3.04,2023
21571,0.43,Good,E,SI2,63.6,55.0,4.83,4.8,3.06,2023
21572,0.43,Very Good,D,SI2,63.4,57.0,4.81,4.78,3.04,2023
21573,0.43,Very Good,D,SI2,63.3,57.0,4.82,4.79,3.04,2023
21574,0.43,Very Good,D,SI2,63.1,59.0,4.81,4.8,3.03,2023
21575,0.46,Very Good,F,SI2,61.6,55.0,4.98,5.02,3.08,2023
21576,0.35,Very Good,G,VVS1,61.8,57.0,4.5,4.53,2.79,2023
21577,0.35,Ideal,H,IF,61.7,54.0,4.53,4.55,2.8,2023
21578,0.36,Premium,E,VVS2,61.7,59.0,4.52,4.56,2.8,2023
21579,0.32,Ideal,E,VVS1,60.7,55.0,4.42,4.45,2.69,2023
21580,0.39,Premium,F,SI1,61.3,62.0,4.71,4.68,2.88,2023
21581,0.39,Premium,E,SI1,59.1,59.0,4.81,4.76,2.83,2023
21582,0.3,Very Good,E,VVS1,62.1,57.0,4.27,4.3,2.66,2023
21583,0.3,Very Good,E,VVS1,62.6,56.0,4.26,4.27,2.67,2023
21584,0.42,Ideal,I,VVS2,62.8,54.0,4.78,4.8,3.01,2023
21585,0.3,Ideal,E,VVS1,62.2,57.0,4.28,4.31,2.67,2023
21586,0.3,Ideal,E,VVS1,62.1,57.0,4.27,4.3,2.66,2023
21587,0.3,Ideal,E,VVS1,62.5,56.0,4.28,4.3,2.68,2023
21588,0.3,Ideal,E,VVS1,62.3,55.0,4.31,4.32,2.69,2023
21589,0.36,Ideal,F,VS1,60.1,56.0,4.65,4.69,2.8,2023
21590,0.35,Ideal,D,VS1,60.1,57.0,4.58,4.61,2.76,2023
21591,0.33,Ideal,I,IF,61.2,56.0,4.46,4.49,2.74,2023
21592,0.42,Premium,D,SI2,62.0,59.0,4.83,4.78,2.98,2023
21593,0.34,Premium,H,VVS1,61.2,58.0,4.51,4.48,2.75,2023
21594,0.31,Ideal,D,VS1,62.0,57.0,4.35,4.33,2.69,2023
21595,0.37,Very Good,F,VS1,58.6,65.0,4.68,4.71,2.75,2023
21596,0.41,Very Good,F,VS2,62.8,57.0,4.73,4.76,2.98,2023
21597,0.41,Good,F,VS2,63.2,57.0,4.74,4.76,3.0,2023
21598,0.41,Ideal,F,VS2,62.6,57.0,4.76,4.79,2.99,2023
21599,0.41,Premium,F,VS2,60.3,58.0,4.8,4.85,2.91,2023
21600,0.41,Ideal,E,VS1,62.3,53.0,4.74,4.76,2.96,2023
21601,0.41,Premium,F,VS2,61.6,59.0,4.74,4.77,2.93,2023
21602,0.41,Premium,F,VS2,61.3,58.0,4.79,4.84,2.95,2023
21603,0.41,Ideal,F,VS2,62.7,57.0,4.73,4.78,2.98,2023
21604,0.41,Ideal,F,VS2,60.8,56.0,4.8,4.81,2.92,2023
21605,0.41,Ideal,F,VS2,60.0,56.0,4.82,4.88,2.91,2023
21606,0.41,Very Good,F,VS2,62.4,56.0,4.75,4.77,2.97,2023
21607,0.41,Ideal,F,VS2,61.8,57.0,4.75,4.79,2.95,2023
21608,0.41,Ideal,F,VS2,61.9,56.0,4.74,4.76,2.94,2023
21609,0.41,Ideal,F,VS2,62.1,56.0,4.74,4.79,2.96,2023
21610,0.41,Very Good,F,VS2,62.6,58.0,4.75,4.81,2.99,2023
21611,0.41,Very Good,I,VVS1,59.8,61.0,4.79,4.84,2.88,2023
21612,0.41,Very Good,I,VVS1,61.9,57.0,4.78,4.82,2.97,2023
21613,0.41,Very Good,F,VS2,61.1,56.0,4.79,4.84,2.94,2023
21614,0.41,Ideal,I,VVS1,61.3,56.0,4.8,4.85,2.96,2023
21615,0.41,Ideal,F,VS2,62.7,56.0,4.72,4.78,2.98,2023
21616,0.41,Very Good,F,VS2,62.6,57.0,4.71,4.74,2.96,2023
21617,0.41,Ideal,F,VS2,61.8,57.0,4.73,4.78,2.94,2023
21618,0.34,Ideal,G,VVS1,61.3,55.0,4.54,4.56,2.79,2023
21619,0.34,Ideal,G,VVS1,61.9,54.0,4.49,4.52,2.79,2023
21620,0.34,Ideal,G,VVS1,62.1,53.0,4.49,4.53,2.8,2023
21621,0.34,Ideal,G,VVS1,61.7,56.0,4.5,4.55,2.79,2023
21622,0.31,Ideal,E,VVS1,61.1,56.0,4.36,4.38,2.67,2023
21623,0.36,Ideal,E,VS1,62.0,54.2,4.55,4.58,2.83,2023
21624,0.34,Ideal,H,IF,61.6,54.0,4.49,4.53,2.78,2023
21625,0.34,Ideal,H,IF,61.7,56.0,4.5,4.51,2.78,2023
21626,0.34,Ideal,H,IF,61.7,55.0,4.5,4.54,2.79,2023
21627,0.3,Ideal,G,IF,61.5,55.0,4.33,4.35,2.67,2023
21628,0.3,Ideal,G,IF,61.6,53.0,4.32,4.35,2.67,2023
21629,0.3,Ideal,G,IF,62.3,56.0,4.31,4.32,2.69,2023
21630,0.3,Ideal,G,IF,61.9,57.0,4.27,4.29,2.65,2023
21631,0.3,Ideal,G,IF,62.4,54.0,4.31,4.34,2.7,2023
21632,0.3,Ideal,G,IF,60.7,57.0,4.34,4.39,2.65,2023
21633,0.3,Ideal,G,IF,62.0,55.0,4.33,4.35,2.69,2023
21634,0.3,Ideal,G,IF,61.2,57.0,4.35,4.38,2.67,2023
21635,0.3,Ideal,G,IF,62.1,55.0,4.32,4.34,2.69,2023
21636,0.3,Ideal,G,IF,60.9,58.0,4.32,4.35,2.64,2023
21637,0.3,Ideal,G,IF,61.8,55.0,4.32,4.36,2.68,2023
21638,0.3,Ideal,G,IF,62.3,54.0,4.32,4.35,2.7,2023
21639,0.3,Ideal,G,IF,62.1,55.0,4.32,4.35,2.69,2023
21640,0.3,Ideal,G,IF,61.5,56.0,4.32,4.36,2.67,2023
21641,0.3,Ideal,G,IF,62.3,56.0,4.29,4.32,2.68,2023
21642,0.3,Ideal,G,IF,61.4,57.0,4.3,4.33,2.65,2023
21643,0.3,Ideal,G,IF,62.2,55.0,4.31,4.34,2.69,2023
21644,0.3,Ideal,G,IF,60.9,57.0,4.35,4.39,2.66,2023
21645,0.3,Ideal,G,IF,62.1,53.0,4.3,4.33,2.68,2023
21646,0.3,Ideal,G,IF,62.5,54.0,4.31,4.33,2.7,2023
21647,0.3,Ideal,G,IF,62.3,55.0,4.3,4.33,2.69,2023
21648,0.3,Ideal,G,IF,61.0,57.0,4.31,4.34,2.64,2023
21649,0.5,Premium,G,SI2,62.4,61.0,5.02,4.98,3.12,2023
21650,0.36,Ideal,E,VS2,61.1,57.0,4.61,4.56,2.8,2023
21651,0.32,Ideal,E,VVS2,61.5,55.0,4.41,4.44,2.72,2023
21652,0.31,Ideal,E,VVS2,60.9,55.0,4.42,4.45,2.7,2023
21653,0.31,Ideal,E,VVS2,62.0,54.0,4.38,4.39,2.72,2023
21654,0.31,Ideal,E,VVS2,61.1,56.0,4.38,4.39,2.68,2023
21655,0.31,Ideal,E,VVS2,60.2,57.0,4.39,4.41,2.65,2023
21656,0.31,Ideal,E,VVS2,62.0,54.0,4.33,4.35,2.69,2023
21657,0.31,Ideal,E,VVS2,61.8,54.0,4.34,4.36,2.69,2023
21658,0.46,Ideal,G,SI2,62.2,53.0,4.95,4.98,3.09,2023
21659,0.4,Premium,G,SI1,61.7,61.0,4.68,4.63,2.87,2023
21660,0.32,Premium,I,IF,60.3,58.0,4.45,4.41,2.67,2023
21661,0.32,Ideal,I,IF,60.8,54.0,4.47,4.44,2.71,2023
21662,0.32,Premium,I,IF,61.9,59.0,4.39,4.37,2.71,2023
21663,0.32,Ideal,I,IF,62.2,57.0,4.37,4.35,2.71,2023
21664,0.4,Premium,F,SI2,59.6,58.0,4.85,4.81,2.88,2023
21665,0.36,Very Good,H,IF,62.3,56.0,4.55,4.58,2.85,2023
21666,0.36,Very Good,H,IF,61.6,56.0,4.57,4.62,2.83,2023
21667,0.36,Very Good,H,IF,60.8,57.0,4.58,4.6,2.79,2023
21668,0.34,Ideal,D,VS1,60.9,56.0,4.51,4.56,2.76,2023
21669,0.42,Ideal,I,VVS1,60.5,57.0,4.84,4.88,2.94,2023
21670,0.31,Ideal,E,VVS1,61.1,56.0,4.38,4.42,2.69,2023
21671,0.31,Ideal,E,VVS1,61.5,56.0,4.36,4.39,2.69,2023
21672,0.31,Ideal,E,VVS1,61.4,55.0,4.35,4.38,2.68,2023
21673,0.31,Ideal,E,VVS1,61.3,56.0,4.38,4.4,2.69,2023
21674,0.31,Ideal,E,VVS1,60.2,61.0,4.4,4.43,2.66,2023
21675,0.38,Ideal,F,VS1,61.3,56.0,4.67,4.7,2.87,2023
21676,0.38,Ideal,F,VS1,62.0,54.0,4.65,4.68,2.89,2023
21677,0.39,Ideal,I,IF,60.8,56.0,4.73,4.75,2.88,2023
21678,0.38,Ideal,E,VS1,62.2,55.0,4.63,4.67,2.89,2023
21679,0.3,Ideal,D,VVS1,62.2,57.0,4.3,4.35,2.69,2023
21680,0.38,Very Good,E,VS2,60.3,58.0,4.67,4.72,2.83,2023
21681,0.38,Premium,E,VS2,62.2,59.0,4.63,4.67,2.89,2023
21682,0.38,Ideal,E,VS2,61.7,55.0,4.66,4.68,2.88,2023
21683,0.38,Very Good,E,VS2,60.5,58.0,4.66,4.7,2.83,2023
21684,0.38,Very Good,E,VS2,60.5,62.0,4.65,4.74,2.84,2023
21685,0.39,Ideal,G,SI1,60.5,56.0,4.77,4.79,2.89,2023
21686,0.43,Very Good,G,VS2,62.9,59.0,4.78,4.83,3.02,2023
21687,0.43,Premium,H,VS1,60.0,59.0,4.86,4.98,2.95,2023
21688,0.43,Premium,G,VS2,62.3,58.0,4.81,4.85,3.01,2023
21689,0.43,Premium,G,VS2,61.1,58.0,4.84,4.88,2.97,2023
21690,0.32,Ideal,D,VVS2,61.3,55.0,4.4,4.44,2.71,2023
21691,0.32,Ideal,D,VVS2,62.0,55.0,4.39,4.41,2.73,2023
21692,0.32,Ideal,F,VVS1,61.5,56.0,4.41,4.43,2.72,2023
21693,0.32,Ideal,F,VVS1,61.7,55.0,4.42,4.46,2.74,2023
21694,0.32,Ideal,F,VVS1,60.6,56.0,4.46,4.48,2.71,2023
21695,0.32,Ideal,F,VVS1,62.0,56.0,4.37,4.41,2.72,2023
21696,0.47,Premium,J,SI2,61.9,59.0,4.99,4.96,3.08,2023
21697,0.4,Very Good,G,VVS2,60.6,59.0,4.74,4.8,2.89,2023
21698,0.4,Very Good,G,VVS2,63.2,55.0,4.72,4.74,2.99,2023
21699,0.4,Very Good,G,VS1,61.5,58.0,4.72,4.74,2.91,2023
21700,0.4,Ideal,H,VVS2,61.1,55.0,4.75,4.78,2.91,2023
21701,0.33,Ideal,G,VVS1,62.3,55.0,4.43,4.46,2.77,2023
21702,0.33,Premium,G,VVS1,60.4,59.0,4.44,4.47,2.69,2023
21703,0.3,Premium,F,VVS1,62.0,59.0,4.24,4.28,2.64,2023
21704,0.33,Ideal,G,VVS1,61.7,54.0,4.47,4.48,2.76,2023
21705,0.33,Ideal,H,IF,61.9,55.0,4.42,4.44,2.74,2023
21706,0.33,Ideal,G,VVS1,62.0,56.0,4.45,4.48,2.77,2023
21707,0.3,Ideal,F,VVS1,62.4,56.0,4.28,4.31,2.68,2023
21708,0.33,Premium,G,VVS1,61.9,59.0,4.38,4.41,2.72,2023
21709,0.33,Very Good,G,VVS1,61.2,60.0,4.42,4.44,2.71,2023
21710,0.33,Very Good,G,VVS1,61.4,60.0,4.39,4.44,2.71,2023
21711,0.33,Ideal,G,VVS1,60.8,56.0,4.42,4.46,2.7,2023
21712,0.3,Ideal,F,VVS1,61.9,57.0,4.3,4.33,2.67,2023
21713,0.3,Premium,F,VVS1,61.8,59.0,4.26,4.29,2.64,2023
21714,0.33,Ideal,G,VVS1,61.7,56.0,4.45,4.47,2.75,2023
21715,0.3,Ideal,F,VVS1,62.1,55.0,4.31,4.32,2.68,2023
21716,0.33,Very Good,G,VVS1,62.8,59.0,4.38,4.44,2.77,2023
21717,0.33,Ideal,G,VVS1,61.8,55.0,4.42,4.45,2.74,2023
21718,0.35,Ideal,G,VVS1,60.7,56.0,4.58,4.6,2.79,2023
21719,0.4,Ideal,G,VS1,61.8,57.0,4.73,4.75,2.93,2023
21720,0.43,Very Good,E,VS2,62.2,58.0,4.81,4.87,3.01,2023
21721,0.44,Ideal,G,VS2,62.0,55.0,4.89,4.91,3.04,2023
21722,0.4,Good,F,SI1,63.6,59.0,4.67,4.64,2.96,2023
21723,0.36,Ideal,G,VS1,62.3,57.0,4.57,4.55,2.84,2023
21724,0.46,Ideal,E,SI2,61.3,56.0,4.96,5.02,3.06,2023
21725,0.4,Ideal,I,VVS1,62.3,53.7,4.72,4.74,2.95,2023
21726,0.38,Ideal,F,VS2,62.2,54.0,4.64,4.66,2.89,2023
21727,0.41,Ideal,F,SI1,61.1,56.0,4.79,4.83,2.94,2023
21728,0.4,Ideal,G,SI2,60.6,56.0,4.82,4.76,2.91,2023
21729,0.4,Premium,G,SI1,59.4,60.0,4.85,4.82,2.87,2023
21730,0.38,Very Good,H,VS2,60.4,56.0,4.71,4.73,2.85,2023
21731,0.41,Very Good,D,VS2,63.8,56.0,4.69,4.74,3.01,2023
21732,0.4,Very Good,G,VS1,61.5,57.0,4.73,4.77,2.92,2023
21733,0.38,Very Good,F,VS1,60.2,58.0,4.71,4.73,2.84,2023
21734,0.38,Good,D,VS2,63.4,55.0,4.63,4.67,2.95,2023
21735,0.38,Ideal,F,VS2,60.4,55.0,4.71,4.76,2.86,2023
